rank,word,score,non_overlapping_word,non_overlapping_score
9972,kyack,37.76759224039559,sored,83.68276911373147
9973,luvvy,37.76378851274249,soare,90.64511220996577
9974,mamba,37.750095093191334,sored,83.68276911373147
9975,robbo,37.727272727272734,saine,87.3351084062381
9976,click,37.69037656903765,soare,90.64511220996577
9977,tekke,37.68923545074172,soral,77.79954355268163
9978,chava,37.68352985926208,sored,83.68276911373147
9979,churr,37.6728794218334,saine,87.3351084062381
9980,vroom,37.65119817421073,saine,87.3351084062381
9981,audax,37.64625332826169,sorel,83.5127424876379
9982,eched,37.63446177253708,sorta,77.91441612780525
9983,zanza,37.63217953594523,sored,83.68276911373147
9984,ewhow,37.62837580829212,sarin,77.06466337010269
9985,jewel,37.62761506276151,sorta,77.91441612780525
9986,ovoid,37.6238113351084,saner,88.61658425256752
9987,fuddy,37.61848611639407,soare,90.64511220996577
9988,shchi,37.61772537086344,porae,88.55534423735261
9989,dubbo,37.60098896918981,saner,88.61658425256752
9990,snush,37.59414225941423,porae,88.55534423735261
9991,cohog,37.59147965005705,sared,88.85393685812096
9992,bubba,37.58235070368961,sored,83.68276911373147
9993,diddy,37.57208063902625,soare,90.64511220996577
9994,skeev,37.56333206542411,roany,77.0228223659186
9995,udyog,37.55001901863827,saner,88.61658425256752
9996,hewgh,37.54963864587295,sorta,77.91441612780525
9997,gloop,37.54925827310764,sared,88.85393685812096
9998,gesse,37.54431342715861,roany,77.0228223659186
9999,xylic,37.52909851654621,soare,90.64511220996577
10000,oxeye,37.52567516165843,sarin,77.06466337010269
10001,mixup,37.51464435146443,soare,90.64511220996577
10002,fichu,37.50551540509699,soare,90.64511220996577
10003,gombo,37.50133130467859,sared,88.85393685812096
10004,whomp,37.500950931913266,sared,88.85393685812096
10005,jimmy,37.49828832255611,soare,90.64511220996577
10006,wussy,37.49562571319893,porae,88.55534423735261
10007,bobol,37.49144161278053,sared,88.85393685812096
10008,puffy,37.48992012171929,soare,90.64511220996577
10009,yappy,37.46253328261696,sored,83.68276911373147
10010,flava,37.44845949030049,sored,83.68276911373147
10011,flurr,37.43780905287181,saine,87.3351084062381
10012,addra,37.38645872955496,toney,81.40547736782047
10013,oboli,37.38607835678965,sared,88.85393685812096
10014,slubb,37.38417649296311,porae,88.55534423735261
10015,reeze,37.38379612019779,salty,74.36059338151388
10016,bundu,37.38113351084062,soare,90.64511220996577
